id_atribut_sada;nazev;scenar_nazev;Průměr_kol;Vítěz_Hráč1_%;Medián_kol;Min_kol;Max_kol;Směrodatná_odchylka_kol;Počet_simulací;Vítěz_Hráč2_%;Nerozhodně_%;Neznámý_%
1.zaklad;Barbar_vs_Lovec;hora;7.04;57.0;6.0;3;17;2.36;1000;43.0;0.0;0.0
1.zaklad;Barbar_vs_Lovec;rovina;4.31;62.6;4.0;3;9;0.88;1000;37.4;0.0;0.0
2.oslabeni;Barbar_vs_Lovec;hora;7.72;31.2;7.0;4;16;2.16;1000;68.8;0.0;0.0
2.oslabeni;Barbar_vs_Lovec;rovina;4.39;51.8;4.0;3;8;0.91;1000;48.2;0.0;0.0
3.posileni_barbar_lovec;Barbar_vs_Lovec;hora;7.7;33.0;7.0;4;16;2.14;1000;67.0;0.0;0.0
3.posileni_barbar_lovec;Barbar_vs_Lovec;rovina;4.4;52.5;4.0;3;8;0.91;1000;47.5;0.0;0.0
4.rytir_barbar;Barbar_vs_Lovec;hora;7.66;38.8;7.0;4;16;2.16;1000;61.2;0.0;0.0
4.rytir_barbar;Barbar_vs_Lovec;rovina;4.2;64.3;4.0;3;8;0.95;1000;35.7;0.0;0.0
5.;Barbar_vs_Lovec;hora;7.04;26.8;7.0;3;15;2.02;1000;73.2;0.0;0.0
5.;Barbar_vs_Lovec;rovina;3.91;53.1;4.0;3;7;0.87;1000;46.9;0.0;0.0
6.lovec_def_-1;Barbar_vs_Lovec;hora;6.98;34.5;7.0;3;15;2.02;1000;65.5;0.0;0.0
6.lovec_def_-1;Barbar_vs_Lovec;rovina;3.85;60.3;4.0;3;7;0.85;1000;39.7;0.0;0.0
1.zaklad;Barbar_vs_Ostrostřelec;hora;5.53;14.1;5.0;3;12;1.5;1000;85.9;0.0;0.0
1.zaklad;Barbar_vs_Ostrostřelec;rovina;3.78;44.5;4.0;3;8;0.92;1000;55.5;0.0;0.0
2.oslabeni;Barbar_vs_Ostrostřelec;hora;6.37;14.6;6.0;3;14;1.54;1000;85.4;0.0;0.0
2.oslabeni;Barbar_vs_Ostrostřelec;rovina;4.82;31.7;5.0;3;10;1.05;1000;68.3;0.0;0.0
3.posileni_barbar_lovec;Barbar_vs_Ostrostřelec;hora;6.36;17.3;6.0;3;14;1.54;1000;82.7;0.0;0.0
3.posileni_barbar_lovec;Barbar_vs_Ostrostřelec;rovina;4.8;38.2;5.0;3;10;1.05;1000;61.8;0.0;0.0
4.rytir_barbar;Barbar_vs_Ostrostřelec;hora;6.35;21.8;6.0;3;14;1.54;1000;78.2;0.0;0.0
4.rytir_barbar;Barbar_vs_Ostrostřelec;rovina;4.78;43.4;5.0;3;10;1.04;1000;56.6;0.0;0.0
5.;Barbar_vs_Ostrostřelec;hora;5.75;12.1;6.0;3;13;1.54;1000;87.9;0.0;0.0
5.;Barbar_vs_Ostrostřelec;rovina;4.32;27.7;4.0;3;10;1.07;1000;72.3;0.0;0.0
6.lovec_def_-1;Barbar_vs_Ostrostřelec;hora;5.75;12.1;6.0;3;13;1.54;1000;87.9;0.0;0.0
6.lovec_def_-1;Barbar_vs_Ostrostřelec;rovina;4.32;27.7;4.0;3;10;1.07;1000;72.3;0.0;0.0
1.zaklad;Lučištník_vs_Barbar;hora;6.97;28.0;6.0;3;20;2.49;1000;72.0;0.0;0.0
1.zaklad;Lučištník_vs_Barbar;rovina;4.66;16.7;4.0;3;12;1.06;1000;83.3;0.0;0.0
2.oslabeni;Lučištník_vs_Barbar;hora;7.83;34.7;7.0;4;21;2.45;1000;65.3;0.0;0.0
2.oslabeni;Lučištník_vs_Barbar;rovina;4.94;16.0;5.0;3;11;1.16;1000;84.0;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Barbar;hora;7.78;32.8;7.0;4;21;2.42;1000;67.2;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Barbar;rovina;4.97;16.5;5.0;3;11;1.16;1000;83.5;0.0;0.0
4.rytir_barbar;Lučištník_vs_Barbar;hora;7.64;28.9;7.0;3;21;2.51;1000;71.1;0.0;0.0
4.rytir_barbar;Lučištník_vs_Barbar;rovina;4.7;11.5;5.0;3;11;1.2;1000;88.5;0.0;0.0
5.;Lučištník_vs_Barbar;hora;7.35;50.3;7.0;3;20;2.31;1000;49.7;0.0;0.0
5.;Lučištník_vs_Barbar;rovina;4.64;31.4;4.0;3;11;1.17;1000;68.6;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Barbar;hora;7.35;50.3;7.0;3;20;2.31;1000;49.7;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Barbar;rovina;4.64;31.4;4.0;3;11;1.17;1000;68.6;0.0;0.0
1.zaklad;Lučištník_vs_Lovec;hora;5.17;52.6;5.0;3;13;1.37;1000;47.4;0.0;0.0
1.zaklad;Lučištník_vs_Lovec;rovina;3.86;40.9;4.0;2;9;0.86;1000;59.1;0.0;0.0
2.oslabeni;Lučištník_vs_Lovec;hora;4.85;37.0;5.0;3;11;1.26;1000;63.0;0.0;0.0
2.oslabeni;Lučištník_vs_Lovec;rovina;3.68;24.6;4.0;2;8;0.79;1000;75.4;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Lovec;hora;4.87;33.4;5.0;3;11;1.29;1000;66.6;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Lovec;rovina;3.68;23.9;4.0;2;8;0.79;1000;76.1;0.0;0.0
4.rytir_barbar;Lučištník_vs_Lovec;hora;4.87;33.4;5.0;3;11;1.29;1000;66.6;0.0;0.0
4.rytir_barbar;Lučištník_vs_Lovec;rovina;3.68;23.9;4.0;2;8;0.79;1000;76.1;0.0;0.0
5.;Lučištník_vs_Lovec;hora;4.85;37.7;5.0;3;11;1.28;1000;62.3;0.0;0.0
5.;Lučištník_vs_Lovec;rovina;3.66;26.8;4.0;2;8;0.78;1000;73.2;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Lovec;hora;4.62;57.9;4.0;3;11;1.23;1000;42.1;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Lovec;rovina;3.54;54.5;3.0;2;8;0.75;1000;45.5;0.0;0.0
1.zaklad;Lučištník_vs_Ostrostřelec;hora;4.68;4.6;4.0;2;10;1.12;1000;95.4;0.0;0.0
1.zaklad;Lučištník_vs_Ostrostřelec;rovina;3.62;3.8;3.0;2;8;0.79;1000;96.2;0.0;0.0
2.oslabeni;Lučištník_vs_Ostrostřelec;hora;5.44;4.9;5.0;3;13;1.39;1000;95.1;0.0;0.0
2.oslabeni;Lučištník_vs_Ostrostřelec;rovina;3.93;4.8;4.0;2;8;0.88;1000;95.2;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Ostrostřelec;hora;5.44;4.9;5.0;3;13;1.39;1000;95.1;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Ostrostřelec;rovina;3.93;4.8;4.0;2;8;0.88;1000;95.2;0.0;0.0
4.rytir_barbar;Lučištník_vs_Ostrostřelec;hora;5.44;4.9;5.0;3;13;1.39;1000;95.1;0.0;0.0
4.rytir_barbar;Lučištník_vs_Ostrostřelec;rovina;3.93;4.8;4.0;2;8;0.88;1000;95.2;0.0;0.0
5.;Lučištník_vs_Ostrostřelec;hora;5.44;4.9;5.0;3;13;1.39;1000;95.1;0.0;0.0
5.;Lučištník_vs_Ostrostřelec;rovina;3.93;4.8;4.0;2;8;0.88;1000;95.2;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Ostrostřelec;hora;5.44;4.9;5.0;3;13;1.39;1000;95.1;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Ostrostřelec;rovina;3.93;4.8;4.0;2;8;0.88;1000;95.2;0.0;0.0
1.zaklad;Lučištník_vs_Rytíř;hora;11.44;0.0;11.0;5;33;3.96;1000;100.0;0.0;0.0
1.zaklad;Lučištník_vs_Rytíř;rovina;6.09;0.0;6.0;3;13;1.52;1000;100.0;0.0;0.0
2.oslabeni;Lučištník_vs_Rytíř;hora;11.46;2.9;11.0;5;33;3.92;1000;97.1;0.0;0.0
2.oslabeni;Lučištník_vs_Rytíř;rovina;6.12;0.3;6.0;4;14;1.52;1000;99.7;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Rytíř;hora;11.46;2.9;11.0;5;33;3.92;1000;97.1;0.0;0.0
3.posileni_barbar_lovec;Lučištník_vs_Rytíř;rovina;6.12;0.3;6.0;4;14;1.52;1000;99.7;0.0;0.0
4.rytir_barbar;Lučištník_vs_Rytíř;hora;11.44;5.3;11.0;5;33;3.89;1000;94.7;0.0;0.0
4.rytir_barbar;Lučištník_vs_Rytíř;rovina;6.12;0.9;6.0;4;14;1.51;1000;99.1;0.0;0.0
5.;Lučištník_vs_Rytíř;hora;11.47;4.6;11.0;5;35;4.0;1000;95.4;0.0;0.0
5.;Lučištník_vs_Rytíř;rovina;6.12;0.6;6.0;4;14;1.51;1000;99.4;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Rytíř;hora;11.47;4.6;11.0;5;35;4.0;1000;95.4;0.0;0.0
6.lovec_def_-1;Lučištník_vs_Rytíř;rovina;6.12;0.6;6.0;4;14;1.51;1000;99.4;0.0;0.0
1.zaklad;Ostrostřelec_vs_Lovec;hora;3.95;22.6;4.0;2;11;1.13;1000;77.4;0.0;0.0
1.zaklad;Ostrostřelec_vs_Lovec;rovina;3.29;20.6;3.0;2;7;0.59;1000;79.4;0.0;0.0
2.oslabeni;Ostrostřelec_vs_Lovec;hora;4.01;33.5;4.0;2;12;1.14;1000;66.5;0.0;0.0
2.oslabeni;Ostrostřelec_vs_Lovec;rovina;3.35;28.5;3.0;2;7;0.62;1000;71.5;0.0;0.0
3.posileni_barbar_lovec;Ostrostřelec_vs_Lovec;hora;4.02;34.4;4.0;2;12;1.14;1000;65.6;0.0;0.0
3.posileni_barbar_lovec;Ostrostřelec_vs_Lovec;rovina;3.35;28.5;3.0;2;7;0.62;1000;71.5;0.0;0.0
4.rytir_barbar;Ostrostřelec_vs_Lovec;hora;4.02;34.4;4.0;2;12;1.14;1000;65.6;0.0;0.0
4.rytir_barbar;Ostrostřelec_vs_Lovec;rovina;3.35;28.5;3.0;2;7;0.62;1000;71.5;0.0;0.0
5.;Ostrostřelec_vs_Lovec;hora;3.99;30.7;4.0;2;10;1.12;1000;69.3;0.0;0.0
5.;Ostrostřelec_vs_Lovec;rovina;3.32;23.7;3.0;2;7;0.6;1000;76.3;0.0;0.0
6.lovec_def_-1;Ostrostřelec_vs_Lovec;hora;3.89;22.3;4.0;2;10;1.09;1000;77.7;0.0;0.0
6.lovec_def_-1;Ostrostřelec_vs_Lovec;rovina;3.3;22.6;3.0;2;7;0.62;1000;77.4;0.0;0.0
1.zaklad;Rytíř_vs_Barbar;hora;8.07;84.6;7.5;4;20;2.52;1000;15.4;0.0;0.0
1.zaklad;Rytíř_vs_Barbar;rovina;5.41;85.3;5.0;4;11;1.19;1000;14.7;0.0;0.0
2.oslabeni;Rytíř_vs_Barbar;hora;8.89;70.8;8.0;5;23;2.73;1000;29.2;0.0;0.0
2.oslabeni;Rytíř_vs_Barbar;rovina;5.7;70.2;5.0;4;12;1.27;1000;29.8;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Barbar;hora;8.77;52.2;8.0;5;23;2.7;1000;47.8;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Barbar;rovina;5.64;57.5;5.0;4;12;1.28;1000;42.5;0.0;0.0
4.rytir_barbar;Rytíř_vs_Barbar;hora;8.66;41.8;8.0;5;23;2.72;1000;58.2;0.0;0.0
4.rytir_barbar;Rytíř_vs_Barbar;rovina;5.54;43.2;5.0;3;12;1.28;1000;56.8;0.0;0.0
5.;Rytíř_vs_Barbar;hora;8.49;64.5;8.0;5;23;2.71;1000;35.5;0.0;0.0
5.;Rytíř_vs_Barbar;rovina;5.38;65.4;5.0;3;12;1.27;1000;34.6;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Barbar;hora;8.49;64.5;8.0;5;23;2.71;1000;35.5;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Barbar;rovina;5.38;65.4;5.0;3;12;1.27;1000;34.6;0.0;0.0
1.zaklad;Rytíř_vs_Lovec;hora;10.28;99.4;10.0;4;23;2.88;1000;0.6;0.0;0.0
1.zaklad;Rytíř_vs_Lovec;rovina;5.96;99.9;6.0;3;13;1.51;1000;0.1;0.0;0.0
2.oslabeni;Rytíř_vs_Lovec;hora;10.77;78.8;10.0;6;26;2.83;1000;21.2;0.0;0.0
2.oslabeni;Rytíř_vs_Lovec;rovina;5.94;91.6;6.0;4;11;1.36;1000;8.4;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Lovec;hora;10.78;78.4;10.0;6;26;2.84;1000;21.6;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Lovec;rovina;5.94;91.6;6.0;4;11;1.36;1000;8.4;0.0;0.0
4.rytir_barbar;Rytíř_vs_Lovec;hora;10.57;69.9;10.0;6;25;2.74;1000;30.1;0.0;0.0
4.rytir_barbar;Rytíř_vs_Lovec;rovina;5.87;87.8;6.0;4;11;1.29;1000;12.2;0.0;0.0
5.;Rytíř_vs_Lovec;hora;10.52;76.7;10.0;6;25;2.75;1000;23.3;0.0;0.0
5.;Rytíř_vs_Lovec;rovina;5.74;92.9;6.0;4;11;1.26;1000;7.1;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Lovec;hora;10.16;84.9;10.0;4;23;2.66;1000;15.1;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Lovec;rovina;5.54;95.8;5.0;3;11;1.22;1000;4.2;0.0;0.0
1.zaklad;Rytíř_vs_Ostrostřelec;hora;11.15;34.3;11.0;6;25;2.59;1000;65.7;0.0;0.0
1.zaklad;Rytíř_vs_Ostrostřelec;rovina;7.62;58.5;8.0;4;13;1.35;1000;41.5;0.0;0.0
2.oslabeni;Rytíř_vs_Ostrostřelec;hora;10.43;10.3;10.0;6;20;2.28;1000;89.7;0.0;0.0
2.oslabeni;Rytíř_vs_Ostrostřelec;rovina;7.19;25.6;7.0;5;13;1.19;1000;74.4;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Ostrostřelec;hora;10.43;10.3;10.0;6;20;2.28;1000;89.7;0.0;0.0
3.posileni_barbar_lovec;Rytíř_vs_Ostrostřelec;rovina;7.19;25.6;7.0;5;13;1.19;1000;74.4;0.0;0.0
4.rytir_barbar;Rytíř_vs_Ostrostřelec;hora;9.88;6.4;10.0;5;20;2.16;1000;93.6;0.0;0.0
4.rytir_barbar;Rytíř_vs_Ostrostřelec;rovina;6.84;16.9;7.0;5;12;1.16;1000;83.1;0.0;0.0
5.;Rytíř_vs_Ostrostřelec;hora;10.09;8.0;10.0;5;20;2.24;1000;92.0;0.0;0.0
5.;Rytíř_vs_Ostrostřelec;rovina;6.96;21.1;7.0;5;12;1.19;1000;78.9;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Ostrostřelec;hora;10.09;8.0;10.0;5;20;2.24;1000;92.0;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Ostrostřelec;rovina;6.96;21.1;7.0;5;12;1.19;1000;78.9;0.0;0.0
1.zaklad;Válečník_vs_Barbar;hora;7.63;8.2;7.0;3;23;2.52;1000;91.8;0.0;0.0
1.zaklad;Válečník_vs_Barbar;rovina;4.53;6.7;4.0;3;11;0.97;1000;93.3;0.0;0.0
2.oslabeni;Válečník_vs_Barbar;hora;8.22;8.8;8.0;4;21;2.51;1000;91.2;0.0;0.0
2.oslabeni;Válečník_vs_Barbar;rovina;4.79;8.9;5.0;3;10;1.19;1000;91.1;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Barbar;hora;7.95;4.0;7.5;4;21;2.49;1000;96.0;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Barbar;rovina;4.64;4.5;4.0;3;10;1.2;1000;95.5;0.0;0.0
4.rytir_barbar;Válečník_vs_Barbar;hora;7.97;5.0;7.0;4;21;2.51;1000;95.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Barbar;rovina;4.62;4.9;4.0;3;10;1.21;1000;95.1;0.0;0.0
5.;Válečník_vs_Barbar;hora;7.93;13.2;7.0;4;21;2.5;1000;86.8;0.0;0.0
5.;Válečník_vs_Barbar;rovina;4.59;18.5;4.0;3;10;1.19;1000;81.5;0.0;0.0
6.lovec_def_-1;Válečník_vs_Barbar;hora;7.93;13.2;7.0;4;21;2.5;1000;86.8;0.0;0.0
6.lovec_def_-1;Válečník_vs_Barbar;rovina;4.59;18.5;4.0;3;10;1.19;1000;81.5;0.0;0.0
1.zaklad;Válečník_vs_Lovec;hora;8.86;35.6;8.0;4;21;2.74;1000;64.4;0.0;0.0
1.zaklad;Válečník_vs_Lovec;rovina;5.15;34.7;5.0;3;11;0.98;1000;65.3;0.0;0.0
2.oslabeni;Válečník_vs_Lovec;hora;9.11;17.2;9.0;4;21;2.61;1000;82.8;0.0;0.0
2.oslabeni;Válečník_vs_Lovec;rovina;5.08;27.8;5.0;3;11;0.96;1000;72.2;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Lovec;hora;9.11;14.2;9.0;4;21;2.61;1000;85.8;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Lovec;rovina;5.08;27.5;5.0;3;11;0.97;1000;72.5;0.0;0.0
4.rytir_barbar;Válečník_vs_Lovec;hora;9.11;14.2;9.0;4;21;2.61;1000;85.8;0.0;0.0
4.rytir_barbar;Válečník_vs_Lovec;rovina;5.08;27.5;5.0;3;11;0.97;1000;72.5;0.0;0.0
5.;Válečník_vs_Lovec;hora;9.11;17.2;9.0;4;21;2.62;1000;82.8;0.0;0.0
5.;Válečník_vs_Lovec;rovina;5.09;32.3;5.0;3;11;0.96;1000;67.7;0.0;0.0
6.lovec_def_-1;Válečník_vs_Lovec;hora;9.01;36.2;9.0;4;21;2.61;1000;63.8;0.0;0.0
6.lovec_def_-1;Válečník_vs_Lovec;rovina;4.89;59.3;5.0;3;10;0.93;1000;40.7;0.0;0.0
1.zaklad;Válečník_vs_Ostrostřelec;hora;6.41;2.0;6.0;4;13;1.52;1000;98.0;0.0;0.0
1.zaklad;Válečník_vs_Ostrostřelec;rovina;4.69;11.9;5.0;3;8;0.85;1000;88.1;0.0;0.0
2.oslabeni;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
2.oslabeni;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
4.rytir_barbar;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
5.;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
5.;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
6.lovec_def_-1;Válečník_vs_Ostrostřelec;hora;6.72;5.7;6.0;4;14;1.52;1000;94.3;0.0;0.0
6.lovec_def_-1;Válečník_vs_Ostrostřelec;rovina;4.98;15.0;5.0;3;9;1.0;1000;85.0;0.0;0.0
1.zaklad;Válečník_vs_Rytíř;hora;9.31;0.0;9.0;5;23;2.88;1000;100.0;0.0;0.0
1.zaklad;Válečník_vs_Rytíř;rovina;6.07;0.0;6.0;4;14;1.33;1000;100.0;0.0;0.0
2.oslabeni;Válečník_vs_Rytíř;hora;9.35;0.5;9.0;5;23;2.88;1000;99.5;0.0;0.0
2.oslabeni;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.32;1000;100.0;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Rytíř;hora;9.35;0.5;9.0;5;23;2.88;1000;99.5;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.32;1000;100.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Rytíř;hora;9.35;1.0;9.0;5;23;2.88;1000;99.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.32;1000;100.0;0.0;0.0
5.;Válečník_vs_Rytíř;hora;9.35;0.7;9.0;5;23;2.87;1000;99.3;0.0;0.0
5.;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.33;1000;100.0;0.0;0.0
6.lovec_def_-1;Válečník_vs_Rytíř;hora;9.35;0.7;9.0;5;23;2.87;1000;99.3;0.0;0.0
6.lovec_def_-1;Válečník_vs_Rytíř;rovina;6.11;0.0;6.0;4;14;1.33;1000;100.0;0.0;0.0
